latent_dim,lstm_hidden,learning_rate,batch_size,epochs,opt_precision,opt_recall,max_precision,max_recall,f1_precision,f1_recall,auc,avg_precision
12,24,0.005,8,15,0.9230769230769231,0.676056338028169,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8230156130581942,0.7860028038015284
12,24,0.005,8,20,0.9230769230769231,0.676056338028169,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8131346216835899,0.78404793795673
12,24,0.005,8,25,0.9183673469387755,0.6338028169014085,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8148815372857298,0.7831034557037564
12,24,0.005,8,30,0.9019607843137255,0.647887323943662,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8167922262255706,0.785527843056403
12,24,0.005,10,15,0.9215686274509803,0.6619718309859155,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8141718528223605,0.7839879992092017
12,24,0.005,10,20,0.9056603773584906,0.676056338028169,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8243803908723659,0.7866462524556628
12,24,0.005,10,25,0.9183673469387755,0.6338028169014085,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8142810350474943,0.7823261948682003
12,24,0.005,10,30,0.92,0.647887323943662,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8165738617753031,0.7824883196732925
12,24,0.005,12,15,0.9,0.6338028169014085,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8165192706627362,0.7801127495827926
12,24,0.005,12,20,0.9183673469387755,0.6338028169014085,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8102412927175456,0.7808299660831707
12,24,0.005,12,25,0.9056603773584906,0.676056338028169,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8187029151654109,0.7843705810416893
12,24,0.005,12,30,0.9,0.6338028169014085,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8280925865269133,0.7874925116241244
12,32,0.0005,6,15,0.9183673469387755,0.6338028169014085,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8202860574298505,0.7850540859842612
12,32,0.0005,6,20,0.9056603773584906,0.676056338028169,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8158641773119335,0.7839727064702853
12,32,0.0005,6,25,0.9230769230769231,0.676056338028169,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8253630308985698,0.787932661198991
12,32,0.0005,6,30,0.9230769230769231,0.676056338028169,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.812206572769953,0.7813549623204792
12,32,0.0005,8,15,0.9056603773584906,0.676056338028169,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8166284528878698,0.7848643468028053
12,32,0.0005,8,20,0.9,0.6338028169014085,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8078938748771699,0.7801273976913207
12,32,0.0005,8,25,0.9215686274509803,0.6619718309859155,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8172835462386723,0.7829298236546915
12,32,0.0005,8,30,0.9056603773584906,0.676056338028169,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8199039196418823,0.7858669725588623
12,32,0.0005,10,15,0.9230769230769231,0.676056338028169,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8236707064089965,0.7879927812217377
12,32,0.0005,10,20,0.9183673469387755,0.6338028169014085,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8135713505841248,0.7826614040703673
12,32,0.0005,10,25,0.9056603773584906,0.676056338028169,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8184845507151436,0.7837291476589849
12,32,0.0005,10,30,0.9183673469387755,0.6338028169014085,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8179386395894748,0.7842643436104202
12,32,0.0005,12,15,0.9183673469387755,0.6338028169014085,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8085489682279724,0.7793473730591205
12,32,0.0005,12,20,0.9019607843137255,0.647887323943662,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8203406485424173,0.7845674666294337
12,32,0.0005,12,25,0.9038461538461539,0.6619718309859155,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8211049241183536,0.7851872779527685
12,32,0.0005,12,30,0.9215686274509803,0.6619718309859155,1.0,0.014084507042253521,0.8928571428571429,0.704225352112676,0.8178840484769079,0.7856728920196636
